Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2023-01-30 21:52 (-06),On Demand,Ben Alldis,5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2023-01-03 01:00 (-06),41,137,39%,90,17.95,1.49,61,,,
2023-01-31 09:45 (-06),Live,Jenn Sherman,15,Cycling,Intervals,15 min HIIT Ride,2023-01-31 09:37 (-06),137,153,41%,84,17.95,4.49,256,159.52,,
2023-02-01 11:45 (-06),Live,Robin Arzon,15,Cycling,Music,15 min 80s Ride,2023-02-01 11:39 (-06),112,125,41%,84,17.55,4.39,206,137.85,,
2023-02-02 07:30 (-06),Live,Bradley Rose,30,Cycling,Low Impact,30 min Low Impact Ride,2023-02-02 07:25 (-06),150,84,35%,78,14.61,7.30,322,118.81,,
2023-02-04 08:27 (-06),On Demand,Bradley Rose,15,Cycling,Climb,15 min Climb Ride,2023-01-31 04:52 (-06),158,176,51%,72,19.63,4.91,253,157.94,,
2023-02-07 10:15 (-06),On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min Intro to Power Zone Ride,2020-12-23 09:00 (-06),96,106,37%,85,16.29,4.07,158,117.55,,
2023-02-07 10:31 (-06),On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min Power Zone Beginner Ride,2021-01-02 08:00 (-06),137,114,38%,85,16.68,5.56,265,134.74,,
2023-02-09 12:02 (-06),On Demand,Denis Morton,10,Cycling,Power Zone,10 min FTP Warm Up Ride,2021-02-13 11:00 (-06),69,114,38%,84,16.62,2.77,108,118.83,,
2023-02-09 12:14 (-06),On Demand,Denis Morton,20,Cycling,Power Zone,20 min FTP Test Ride,2021-02-27 13:00 (-06),253,211,51%,82,21.75,7.25,377,170.69,,
2023-02-09 12:34 (-06),On Demand,Christine D'Ercole,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-12-21 10:00 (-06),9,30,21%,80,9.14,0.76,79,151.27,,
2023-02-09 12:41 (-06),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-02-09 10:00 (-06),,,,,,,65,133.35,,
2023-02-10 10:47 (-06),On Demand,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2021-03-09 12:00 (-06),231,128,42%,79,17.73,8.87,358,126.41,,
2023-02-10 11:17 (-06),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-12-07 10:00 (-06),,,,,,,53,118.24,,
2023-02-11 10:56 (-06),On Demand,Andy Speer,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2022-11-30 09:00 (-06),,,,,,,3,,,
2023-02-11 11:09 (-06),On Demand,Matt Wilpers,20,Cycling,Low Impact,20 min Low Impact Ride,2021-01-30 13:30 (-06),91,76,35%,76,13.96,4.65,231,123.87,,
2023-02-11 11:30 (-06),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-12-20 10:00 (-06),,,,,,,58,124.87,,
2023-02-13 07:38 (-06),On Demand,Aditi Shah,30,Yoga,Flow,30 min Morning Yoga Flow,2023-02-06 06:48 (-06),,,,,,,146,,,
2023-02-13 14:15 (-06),On Demand,Olivia Amato,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2021-02-12 10:25 (-06),235,130,40%,85,17.73,8.87,408,137.15,,
2023-02-13 14:47 (-06),On Demand,Cliff Dwenger,5,Stretching,Pre & Post-Ride Stretch,5 min Holiday Post-Ride Stretch,2022-12-06 11:44 (-06),,,,,,,5,122.80,,
2023-02-13 14:48 (-06),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-11-28 10:00 (-06),,,,,,,56,122.01,,
2023-02-15 12:56 (-06),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Hip Hop Ride,2021-03-09 12:00 (-06),262,145,39%,91,18.05,9.02,475,151.47,,
2023-02-15 13:27 (-06),On Demand,Alex Toussaint,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-11-28 10:00 (-06),30,99,43%,70,16.07,1.34,74,144.30,,
2023-02-15 13:32 (-06),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-09-26 00:00 (-06),,,,,,,65,132.90,,
2023-02-26 07:31 (-06),Live,Chelsea Jackson Roberts,30,Yoga,Flow,30 min BHM Celebration Yoga Flow,2023-02-26 07:25 (-06),,,,,,,25,,,
2023-02-27 11:07 (-06),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-04-23 07:00 (-06),372,138,40%,88,18.19,13.64,671,145.45,,
2023-02-27 11:53 (-06),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-12-20 10:00 (-06),,,,,,,68,136.86,,
2023-03-01 14:58 (-06),On Demand,Olivia Amato,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-04-23 07:00 (-06),386,143,41%,88,18.55,13.91,640,141.12,,
